production_id,shipment_batch_id,company_id,company_name,label_code,season,gender,fabric,garment_type,color,garment_units,production_start_date,production_complete_date,production_due_date,production_duration_days,due_buffer_days,is_late,line_or_machine,risk_stage,scenario_tag
PRD-00011,SHP-202302-01,2,케어라벨사,W2WPM10GY,겨울,여성,울,코트,그레이,36769,2023-01-06,2023-01-13,2023-02-07,7,25,N,label-line-6,normal,smooth
PRD-00012,SHP-202302-01,3,지퍼단추사,W2WPM10GY,겨울,여성,울,코트,그레이,36769,2023-01-06,2023-01-15,2023-02-07,9,23,N,zipper-line-1,normal,smooth
PRD-00013,SHP-202302-02,1,옷감사,W3MJW01NV,겨울,남성,울,재킷,네이비,30813,2023-01-01,2023-01-15,2023-02-15,14,31,N,fabric-line-2,normal,smooth
PRD-00014,SHP-202302-02,2,케어라벨사,W3MJW01NV,겨울,남성,울,재킷,네이비,30813,2023-01-13,2023-01-18,2023-02-15,5,28,N,label-line-3,normal,smooth
PRD-00015,SHP-202302-02,3,지퍼단추사,W3MJW01NV,겨울,남성,울,재킷,네이비,30813,2023-01-14,2023-01-23,2023-02-15,9,23,N,zipper-line-4,normal,smooth
PRD-00016,SHP-202302-03,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,34301,2023-01-21,2023-02-02,2023-02-23,12,21,N,fabric-line-5,normal,smooth
PRD-00017,SHP-202302-03,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,34301,2023-01-31,2023-02-05,2023-02-23,5,18,N,label-line-6,normal,smooth
PRD-00018,SHP-202302-03,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,34301,2023-01-17,2023-01-23,2023-02-23,6,31,N,zipper-line-1,normal,smooth
PRD-00019,SHP-202302-04,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,33523,2023-01-23,2023-02-03,2023-02-28,11,25,N,fabric-line-2,normal,smooth
PRD-00020,SHP-202302-04,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,33523,2023-01-26,2023-02-01,2023-02-28,6,27,N,label-line-3,normal,smooth
PRD-00021,SHP-202302-04,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,33523,2023-01-25,2023-02-03,2023-02-28,9,25,N,zipper-line-4,normal,smooth
PRD-00022,SHP-202303-01,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,2023-01-25,2023-02-06,2023-03-08,12,30,N,fabric-line-5,normal,smooth
PRD-00023,SHP-202303-01,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,2023-02-03,2023-02-08,2023-03-08,5,28,N,label-line-6,normal,smooth
PRD-00024,SHP-202303-01,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,2023-01-31,2023-02-09,2023-03-08,9,27,N,zipper-line-1,normal,smooth
PRD-00025,SHP-202303-02,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30976,2023-02-06,2023-02-18,2023-03-18,12,28,N,fabric-line-2,normal,smooth
PRD-00026,SHP-202303-02,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30976,2023-02-15,2023-02-20,2023-03-18,5,26,N,label-line-3,normal,smooth
PRD-00027,SHP-202303-02,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30976,2023-02-14,2023-02-22,2023-03-18,8,24,N,zipper-line-4,normal,smooth
PRD-00028,SHP-202303-03,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,34356,2023-02-10,2023-02-24,2023-03-27,14,31,N,fabric-line-5,normal,smooth
PRD-00029,SHP-202303-03,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,34356,2023-02-26,2023-03-03,2023-03-27,5,24,N,label-line-6,normal,smooth
PRD-00030,SHP-202303-03,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,34356,2023-02-21,2023-02-28,2023-03-27,7,27,N,zipper-line-1,normal,smooth
PRD-00031,SHP-202304-01,1,옷감사,W3MJW01NV,겨울,남성,울,재킷,네이비,33338,2023-02-28,2023-03-14,2023-04-08,14,25,N,fabric-line-2,normal,smooth
PRD-00032,SHP-202304-01,2,케어라벨사,W3MJW01NV,겨울,남성,울,재킷,네이비,33338,2023-03-11,2023-03-18,2023-04-08,7,21,N,label-line-3,normal,smooth
PRD-00033,SHP-202304-01,3,지퍼단추사,W3MJW01NV,겨울,남성,울,재킷,네이비,33338,2023-03-14,2023-03-20,2023-04-08,6,19,N,zipper-line-4,normal,smooth
PRD-00034,SHP-202304-02,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40067,2023-03-11,2023-03-23,2023-04-18,12,26,N,fabric-line-5,normal,smooth
PRD-00035,SHP-202304-02,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40067,2023-03-24,2023-03-30,2023-04-18,6,19,N,label-line-6,normal,smooth
PRD-00036,SHP-202304-02,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40067,2023-03-16,2023-03-22,2023-04-18,6,27,N,zipper-line-1,normal,smooth
PRD-00037,SHP-202304-03,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,36432,2023-03-17,2023-03-30,2023-04-27,13,28,N,fabric-line-2,normal,smooth
PRD-00038,SHP-202304-03,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,36432,2023-03-29,2023-04-02,2023-04-27,4,25,N,label-line-3,normal,smooth
PRD-00039,SHP-202304-03,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,36432,2023-03-19,2023-03-27,2023-04-27,8,31,N,zipper-line-4,normal,smooth
PRD-00040,SHP-202305-01,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,46048,2023-03-28,2023-04-11,2023-05-07,14,26,N,fabric-line-5,normal,smooth
PRD-00041,SHP-202305-01,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,46048,2023-04-07,2023-04-13,2023-05-07,6,24,N,label-line-6,normal,smooth
PRD-00042,SHP-202305-01,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,46048,2023-04-01,2023-04-10,2023-05-07,9,27,N,zipper-line-1,normal,smooth
PRD-00043,SHP-202305-02,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,43815,2023-04-11,2023-04-24,2023-05-15,13,21,N,fabric-line-2,normal,smooth
PRD-00044,SHP-202305-02,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,43815,2023-04-13,2023-04-19,2023-05-15,6,26,N,label-line-3,normal,smooth
PRD-00045,SHP-202305-02,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,43815,2023-04-20,2023-04-26,2023-05-15,6,19,N,zipper-line-4,normal,smooth
PRD-00046,SHP-202305-03,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,36852,2023-04-21,2023-05-04,2023-05-23,13,19,N,fabric-line-5,normal,smooth
PRD-00047,SHP-202305-03,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,36852,2023-04-24,2023-04-30,2023-05-23,6,23,N,label-line-6,normal,smooth
PRD-00048,SHP-202305-03,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,36852,2023-04-22,2023-04-28,2023-05-23,6,25,N,zipper-line-1,normal,smooth
PRD-00049,SHP-202305-04,1,옷감사,W2WPM10GY,겨울,여성,울,코트,그레이,47843,2023-04-26,2023-05-09,2023-05-28,13,19,N,fabric-line-2,normal,smooth
PRD-00050,SHP-202305-04,2,케어라벨사,W2WPM10GY,겨울,여성,울,코트,그레이,47843,2023-04-25,2023-05-02,2023-05-28,7,26,N,label-line-3,normal,smooth
PRD-00051,SHP-202305-04,3,지퍼단추사,W2WPM10GY,겨울,여성,울,코트,그레이,47843,2023-05-02,2023-05-10,2023-05-28,8,18,N,zipper-line-4,normal,smooth
PRD-00052,SHP-202306-01,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,38200,2023-05-06,2023-05-18,2023-06-08,12,21,N,fabric-line-5,normal,smooth
PRD-00053,SHP-202306-01,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,38200,2023-05-17,2023-05-21,2023-06-08,4,18,N,label-line-6,normal,smooth
PRD-00054,SHP-202306-01,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,38200,2023-05-05,2023-05-13,2023-06-08,8,26,N,zipper-line-1,normal,smooth
PRD-00055,SHP-202306-02,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,45776,2023-05-11,2023-05-22,2023-06-18,11,27,N,fabric-line-2,normal,smooth
PRD-00056,SHP-202306-02,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,45776,2023-05-21,2023-05-25,2023-06-18,4,24,N,label-line-3,normal,smooth
PRD-00057,SHP-202306-02,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,45776,2023-05-15,2023-05-22,2023-06-18,7,27,N,zipper-line-4,normal,smooth
PRD-00058,SHP-202306-03,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,44309,2023-05-13,2023-05-27,2023-06-27,14,31,N,fabric-line-5,normal,smooth
PRD-00059,SHP-202306-03,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,44309,2023-05-30,2023-06-06,2023-06-27,7,21,N,label-line-6,normal,smooth
PRD-00060,SHP-202306-03,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,44309,2023-05-26,2023-06-01,2023-06-27,6,26,N,zipper-line-1,normal,smooth
PRD-00061,SHP-202307-01,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,44065,2023-05-31,2023-06-14,2023-07-08,14,24,N,fabric-line-2,normal,smooth
PRD-00062,SHP-202307-01,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,44065,2023-06-13,2023-06-19,2023-07-08,6,19,N,label-line-3,normal,smooth
PRD-00063,SHP-202307-01,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,44065,2023-06-05,2023-06-14,2023-07-08,9,24,N,zipper-line-4,normal,smooth
PRD-00064,SHP-202307-02,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,40372,2023-06-08,2023-06-19,2023-07-18,11,29,N,fabric-line-5,normal,smooth
PRD-00065,SHP-202307-02,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,40372,2023-06-19,2023-06-23,2023-07-18,4,25,N,label-line-6,normal,smooth
PRD-00066,SHP-202307-02,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,40372,2023-06-20,2023-06-29,2023-07-18,9,19,N,zipper-line-1,normal,smooth
PRD-00067,SHP-202307-03,1,옷감사,W2WPM10GY,겨울,여성,울,코트,그레이,40322,2023-06-14,2023-06-26,2023-07-27,12,31,N,fabric-line-2,normal,smooth
PRD-00068,SHP-202307-03,2,케어라벨사,W2WPM10GY,겨울,여성,울,코트,그레이,40322,2023-07-02,2023-07-06,2023-07-27,4,21,N,label-line-3,normal,smooth
PRD-00069,SHP-202307-03,3,지퍼단추사,W2WPM10GY,겨울,여성,울,코트,그레이,40322,2023-06-29,2023-07-07,2023-07-27,8,20,N,zipper-line-4,normal,smooth
PRD-00070,SHP-202308-01,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40618,2023-06-29,2023-07-13,2023-08-07,14,25,N,fabric-line-5,normal,smooth
PRD-00071,SHP-202308-01,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40618,2023-07-06,2023-07-11,2023-08-07,5,27,N,label-line-6,normal,smooth
PRD-00072,SHP-202308-01,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,40618,2023-07-02,2023-07-11,2023-08-07,9,27,N,zipper-line-1,normal,smooth
PRD-00073,SHP-202308-02,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,36274,2023-07-06,2023-07-20,2023-08-15,14,26,N,fabric-line-2,normal,smooth
PRD-00074,SHP-202308-02,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,36274,2023-07-23,2023-07-28,2023-08-15,5,18,N,label-line-3,normal,smooth
PRD-00075,SHP-202308-02,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,36274,2023-07-11,2023-07-18,2023-08-15,7,28,N,zipper-line-4,normal,smooth
PRD-00076,SHP-202308-03,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40444,2023-07-20,2023-08-01,2023-08-23,12,22,N,fabric-line-5,normal,smooth
PRD-00077,SHP-202308-03,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40444,2023-07-25,2023-08-01,2023-08-23,7,22,N,label-line-6,normal,smooth
PRD-00078,SHP-202308-03,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40444,2023-07-22,2023-07-28,2023-08-23,6,26,N,zipper-line-1,normal,smooth
PRD-00079,SHP-202308-04,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33339,2023-07-20,2023-08-02,2023-08-28,13,26,N,fabric-line-2,normal,smooth
PRD-00080,SHP-202308-04,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33339,2023-07-25,2023-07-30,2023-08-28,5,29,N,label-line-3,normal,smooth
PRD-00081,SHP-202308-04,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33339,2023-07-26,2023-08-02,2023-08-28,7,26,N,zipper-line-4,normal,smooth
PRD-00082,SHP-202309-01,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,33727,2023-07-29,2023-08-12,2023-09-08,14,27,N,fabric-line-5,normal,smooth
PRD-00083,SHP-202309-01,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,33727,2023-08-16,2023-08-20,2023-09-08,4,19,N,label-line-6,normal,smooth
PRD-00084,SHP-202309-01,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,33727,2023-07-31,2023-08-09,2023-09-08,9,30,N,zipper-line-1,normal,smooth
PRD-00085,SHP-202309-02,1,옷감사,W2WPM10GY,겨울,여성,울,코트,그레이,34189,2023-08-08,2023-08-21,2023-09-18,13,28,N,fabric-line-2,normal,smooth
PRD-00086,SHP-202309-02,2,케어라벨사,W2WPM10GY,겨울,여성,울,코트,그레이,34189,2023-08-26,2023-08-30,2023-09-18,4,19,N,label-line-3,normal,smooth
PRD-00087,SHP-202309-02,3,지퍼단추사,W2WPM10GY,겨울,여성,울,코트,그레이,34189,2023-08-12,2023-08-20,2023-09-18,8,29,N,zipper-line-4,normal,smooth
PRD-00088,SHP-202309-03,1,옷감사,W3MJW01NV,겨울,남성,울,재킷,네이비,40877,2023-08-16,2023-08-28,2023-09-27,12,30,N,fabric-line-5,normal,smooth
PRD-00089,SHP-202309-03,2,케어라벨사,W3MJW01NV,겨울,남성,울,재킷,네이비,40877,2023-08-27,2023-08-31,2023-09-27,4,27,N,label-line-6,normal,smooth
PRD-00090,SHP-202309-03,3,지퍼단추사,W3MJW01NV,겨울,남성,울,재킷,네이비,40877,2023-08-30,2023-09-05,2023-09-27,6,22,N,zipper-line-1,normal,smooth
PRD-00091,SHP-202310-01,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,38225,2023-09-06,2023-09-18,2023-10-08,12,20,N,fabric-line-2,normal,smooth
PRD-00092,SHP-202310-01,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,38225,2023-09-15,2023-09-20,2023-10-08,5,18,N,label-line-3,normal,smooth
PRD-00093,SHP-202310-01,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,38225,2023-08-31,2023-09-09,2023-10-08,9,29,N,zipper-line-4,normal,smooth
PRD-00094,SHP-202310-02,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40571,2023-09-12,2023-09-23,2023-10-18,11,25,N,fabric-line-5,normal,smooth
PRD-00095,SHP-202310-02,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40571,2023-09-22,2023-09-28,2023-10-18,6,20,N,label-line-6,normal,smooth
PRD-00096,SHP-202310-02,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40571,2023-09-16,2023-09-24,2023-10-18,8,24,N,zipper-line-1,normal,smooth
PRD-00097,SHP-202310-03,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,37921,2023-09-17,2023-09-29,2023-10-27,12,28,N,fabric-line-2,normal,smooth
PRD-00098,SHP-202310-03,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,37921,2023-09-27,2023-10-01,2023-10-27,4,26,N,label-line-3,normal,smooth
PRD-00099,SHP-202310-03,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,37921,2023-09-21,2023-09-28,2023-10-27,7,29,N,zipper-line-4,normal,smooth
PRD-00100,SHP-202311-01,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,42633,2023-10-07,2023-10-20,2023-11-07,13,18,N,fabric-line-5,normal,smooth
PRD-00101,SHP-202311-01,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,42633,2023-10-09,2023-10-15,2023-11-07,6,23,N,label-line-6,normal,smooth
PRD-00102,SHP-202311-01,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,42633,2023-10-08,2023-10-14,2023-11-07,6,24,N,zipper-line-1,normal,smooth
PRD-00103,SHP-202311-02,1,옷감사,W2WPM10GY,겨울,여성,울,코트,그레이,36005,2023-10-05,2023-10-17,2023-11-15,12,29,N,fabric-line-2,normal,smooth
PRD-00104,SHP-202311-02,2,케어라벨사,W2WPM10GY,겨울,여성,울,코트,그레이,36005,2023-10-16,2023-10-20,2023-11-15,4,26,N,label-line-3,normal,smooth
PRD-00105,SHP-202311-02,3,지퍼단추사,W2WPM10GY,겨울,여성,울,코트,그레이,36005,2023-10-20,2023-10-27,2023-11-15,7,19,N,zipper-line-4,normal,smooth
PRD-00106,SHP-202311-03,1,옷감사,W3MJW01NV,겨울,남성,울,재킷,네이비,40328,2023-10-15,2023-10-28,2023-11-23,13,26,N,fabric-line-5,normal,smooth
PRD-00107,SHP-202311-03,2,케어라벨사,W3MJW01NV,겨울,남성,울,재킷,네이비,40328,2023-10-21,2023-10-25,2023-11-23,4,29,N,label-line-6,normal,smooth
PRD-00108,SHP-202311-03,3,지퍼단추사,W3MJW01NV,겨울,남성,울,재킷,네이비,40328,2023-10-17,2023-10-26,2023-11-23,9,28,N,zipper-line-1,normal,smooth
PRD-00109,SHP-202311-04,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,43514,2023-10-26,2023-11-08,2023-11-28,13,20,N,fabric-line-2,normal,smooth
PRD-00110,SHP-202311-04,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,43514,2023-10-30,2023-11-04,2023-11-28,5,24,N,label-line-3,normal,smooth
PRD-00111,SHP-202311-04,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,43514,2023-10-28,2023-11-06,2023-11-28,9,22,N,zipper-line-4,normal,smooth
PRD-00112,SHP-202312-01,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,36519,2023-10-27,2023-11-08,2023-12-08,12,30,N,fabric-line-5,normal,smooth
PRD-00113,SHP-202312-01,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,36519,2023-11-10,2023-11-16,2023-12-08,6,22,N,label-line-6,normal,smooth
PRD-00114,SHP-202312-01,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,36519,2023-10-29,2023-11-07,2023-12-08,9,31,N,zipper-line-1,normal,smooth
PRD-00115,SHP-202312-02,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,40567,2023-11-07,2023-11-21,2023-12-18,14,27,N,fabric-line-2,normal,smooth
PRD-00116,SHP-202312-02,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,40567,2023-11-13,2023-11-17,2023-12-18,4,31,N,label-line-3,normal,smooth
PRD-00117,SHP-202312-02,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,40567,2023-11-17,2023-11-25,2023-12-18,8,23,N,zipper-line-4,normal,smooth
PRD-00118,SHP-202312-03,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,38471,2023-11-24,2023-12-08,2023-12-27,14,19,N,fabric-line-5,normal,smooth
PRD-00119,SHP-202312-03,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,38471,2023-11-26,2023-12-03,2023-12-27,7,24,N,label-line-6,normal,smooth
PRD-00120,SHP-202312-03,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,38471,2023-11-22,2023-12-01,2023-12-27,9,26,N,zipper-line-1,normal,smooth
PRD-00121,SHP-202401-01,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,30721,2023-12-02,2023-12-15,2024-01-08,13,24,N,fabric-line-2,normal,smooth
PRD-00122,SHP-202401-01,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,30721,2023-12-10,2023-12-14,2024-01-08,4,25,N,label-line-3,normal,smooth
PRD-00123,SHP-202401-01,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,30721,2023-12-06,2023-12-13,2024-01-08,7,26,N,zipper-line-4,normal,smooth
PRD-00124,SHP-202401-02,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,36547,2023-12-14,2023-12-27,2024-01-18,13,22,N,fabric-line-5,normal,smooth
PRD-00125,SHP-202401-02,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,36547,2023-12-16,2023-12-23,2024-01-18,7,26,N,label-line-6,normal,smooth
PRD-00126,SHP-202401-02,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,36547,2023-12-17,2023-12-25,2024-01-18,8,24,N,zipper-line-1,normal,smooth
PRD-00127,SHP-202401-03,1,옷감사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,29048,2023-12-21,2024-01-01,2024-01-27,11,26,N,fabric-line-2,normal,smooth
PRD-00128,SHP-202401-03,2,케어라벨사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,29048,2023-12-25,2023-12-30,2024-01-27,5,28,N,label-line-3,normal,smooth
PRD-00129,SHP-202401-03,3,지퍼단추사,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,29048,2023-12-21,2023-12-27,2024-01-27,6,31,N,zipper-line-4,normal,smooth
PRD-00130,SHP-202402-01,1,옷감사,W3MJW01NV,겨울,남성,울,재킷,네이비,33478,2023-12-27,2024-01-10,2024-02-07,14,28,N,fabric-line-5,normal,smooth
PRD-00131,SHP-202402-01,2,케어라벨사,W3MJW01NV,겨울,남성,울,재킷,네이비,33478,2024-01-03,2024-01-07,2024-02-07,4,31,N,label-line-6,normal,smooth
PRD-00132,SHP-202402-01,3,지퍼단추사,W3MJW01NV,겨울,남성,울,재킷,네이비,33478,2024-01-04,2024-01-13,2024-02-07,9,25,N,zipper-line-1,normal,smooth
PRD-00133,SHP-202402-02,1,옷감사,W2WTO11BK,가을,여성,트윌,아우터,블랙,32558,2024-01-02,2024-01-16,2024-02-15,14,30,N,fabric-line-2,normal,smooth
PRD-00134,SHP-202402-02,2,케어라벨사,W2WTO11BK,가을,여성,트윌,아우터,블랙,32558,2024-01-20,2024-01-26,2024-02-15,6,20,N,label-line-3,normal,smooth
PRD-00135,SHP-202402-02,3,지퍼단추사,W2WTO11BK,가을,여성,트윌,아우터,블랙,32558,2024-01-20,2024-01-27,2024-02-15,7,19,N,zipper-line-4,normal,smooth
PRD-00136,SHP-202402-03,1,옷감사,W2MTC08RD,여름,여성,면,티셔츠,레드,28783,2024-01-15,2024-01-26,2024-02-23,11,28,N,fabric-line-5,normal,smooth
PRD-00137,SHP-202402-03,2,케어라벨사,W2MTC08RD,여름,여성,면,티셔츠,레드,28783,2024-01-23,2024-01-29,2024-02-23,6,25,N,label-line-6,normal,smooth
PRD-00138,SHP-202402-03,3,지퍼단추사,W2MTC08RD,여름,여성,면,티셔츠,레드,28783,2024-01-19,2024-01-27,2024-02-23,8,27,N,zipper-line-1,normal,smooth
PRD-00139,SHP-202402-04,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32185,2024-01-16,2024-01-30,2024-02-28,14,29,N,fabric-line-2,normal,smooth
PRD-00140,SHP-202402-04,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32185,2024-01-28,2024-02-04,2024-02-28,7,24,N,label-line-3,normal,smooth
PRD-00141,SHP-202402-04,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32185,2024-01-31,2024-02-06,2024-02-28,6,22,N,zipper-line-4,normal,smooth
