receipt_id,year,quarter,company_id,company_name,material_name,supplier,order_date,promised_date,actual_receipt_date,delay_days,ordered_qty,unit,risk_stage,note
MAT-0027,2023,Q4,1,옷감사,염료,Korea Dye Works,2023-08-07,2023-09-21,2023-09-22,1,831741,kg,normal_variation,
MAT-0028,2023,Q4,2,케어라벨사,라벨 원단,Apex Label Materials,2023-08-07,2023-09-21,2023-09-27,6,500707,m,normal_variation,
MAT-0029,2023,Q4,2,케어라벨사,잉크,Korea Ink Supply,2023-08-07,2023-09-21,2023-09-27,6,476096,통,normal_variation,
MAT-0030,2023,Q4,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2023-08-07,2023-09-21,2023-09-23,2,580507,kg,normal_variation,
MAT-0031,2023,Q4,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2023-08-07,2023-09-21,2023-09-28,7,533306,kg,normal_variation,
MAT-0032,2023,Q4,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2023-08-07,2023-09-21,2023-09-27,6,571512,m,normal_variation,
MAT-0033,2024,Q1,1,옷감사,면 원사,Qingdao Cotton Trading,2023-11-07,2023-12-22,2023-12-29,7,940774,kg,normal_variation,
MAT-0034,2024,Q1,1,옷감사,폴리 원사,Sino Poly Fiber,2023-11-07,2023-12-22,2023-12-22,0,850856,kg,normal_variation,
MAT-0035,2024,Q1,1,옷감사,염료,Korea Dye Works,2023-11-07,2023-12-22,2023-12-22,0,725963,kg,normal_variation,
MAT-0036,2024,Q1,2,케어라벨사,라벨 원단,Apex Label Materials,2023-11-07,2023-12-22,2023-12-29,7,373259,m,normal_variation,
MAT-0037,2024,Q1,2,케어라벨사,잉크,Korea Ink Supply,2023-11-07,2023-12-22,2023-12-26,4,429563,통,normal_variation,
MAT-0038,2024,Q1,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2023-11-07,2023-12-22,2023-12-23,1,535897,kg,normal_variation,
MAT-0039,2024,Q1,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2023-11-07,2023-12-22,2023-12-25,3,452417,kg,normal_variation,
MAT-0040,2024,Q1,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2023-11-07,2023-12-22,2023-12-24,2,452140,m,normal_variation,
MAT-0041,2024,Q2,1,옷감사,면 원사,Qingdao Cotton Trading,2024-02-06,2024-03-22,2024-03-29,7,828785,kg,normal_variation,
MAT-0042,2024,Q2,1,옷감사,폴리 원사,Sino Poly Fiber,2024-02-06,2024-03-22,2024-03-22,0,697691,kg,normal_variation,
MAT-0043,2024,Q2,1,옷감사,염료,Korea Dye Works,2024-02-06,2024-03-22,2024-03-28,6,656165,kg,normal_variation,
MAT-0044,2024,Q2,2,케어라벨사,라벨 원단,Apex Label Materials,2024-02-06,2024-03-22,2024-03-22,0,372338,m,normal_variation,
MAT-0045,2024,Q2,2,케어라벨사,잉크,Korea Ink Supply,2024-02-06,2024-03-22,2024-03-23,1,407752,통,normal_variation,
MAT-0046,2024,Q2,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2024-02-06,2024-03-22,2024-03-24,2,491470,kg,normal_variation,
MAT-0047,2024,Q2,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2024-02-06,2024-03-22,2024-03-27,5,593082,kg,normal_variation,
MAT-0048,2024,Q2,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2024-02-06,2024-03-22,2024-03-22,0,524009,m,normal_variation,
MAT-0049,2024,Q3,1,옷감사,면 원사,Qingdao Cotton Trading,2024-05-07,2024-06-21,2024-06-26,5,749611,kg,normal_variation,
MAT-0050,2024,Q3,1,옷감사,폴리 원사,Sino Poly Fiber,2024-05-07,2024-06-21,2024-06-24,3,661099,kg,normal_variation,
MAT-0051,2024,Q3,1,옷감사,염료,Korea Dye Works,2024-05-07,2024-06-21,2024-06-27,6,796035,kg,normal_variation,
MAT-0052,2024,Q3,2,케어라벨사,라벨 원단,Apex Label Materials,2024-05-07,2024-06-21,2024-06-26,5,455471,m,normal_variation,
MAT-0053,2024,Q3,2,케어라벨사,잉크,Korea Ink Supply,2024-05-07,2024-06-21,2024-06-26,5,453308,통,normal_variation,
MAT-0054,2024,Q3,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2024-05-07,2024-06-21,2024-06-27,6,515599,kg,normal_variation,
MAT-0055,2024,Q3,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2024-05-07,2024-06-21,2024-06-25,4,469558,kg,normal_variation,
MAT-0056,2024,Q3,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2024-05-07,2024-06-21,2024-06-22,1,455117,m,normal_variation,
MAT-0057,2024,Q4,1,옷감사,면 원사,Qingdao Cotton Trading,2024-08-07,2024-09-21,2024-09-26,5,813166,kg,normal_variation,
MAT-0058,2024,Q4,1,옷감사,폴리 원사,Sino Poly Fiber,2024-08-07,2024-09-21,2024-09-23,2,662101,kg,normal_variation,
MAT-0059,2024,Q4,1,옷감사,염료,Korea Dye Works,2024-08-07,2024-09-21,2024-09-27,6,826296,kg,normal_variation,
MAT-0060,2024,Q4,2,케어라벨사,라벨 원단,Apex Label Materials,2024-08-07,2024-09-21,2024-09-28,7,488136,m,normal_variation,
MAT-0061,2024,Q4,2,케어라벨사,잉크,Korea Ink Supply,2024-08-07,2024-09-21,2024-09-21,0,407513,통,normal_variation,
MAT-0062,2024,Q4,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2024-08-07,2024-09-21,2024-09-27,6,613241,kg,normal_variation,
MAT-0063,2024,Q4,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2024-08-07,2024-09-21,2024-09-28,7,624723,kg,normal_variation,
MAT-0064,2024,Q4,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2024-08-07,2024-09-21,2024-09-26,5,537158,m,normal_variation,
MAT-0065,2025,Q1,1,옷감사,면 원사,Qingdao Cotton Trading,2024-11-07,2024-12-22,2025-01-06,15,877095,kg,material_risk,
MAT-0066,2025,Q1,1,옷감사,폴리 원사,Sino Poly Fiber,2024-11-07,2024-12-22,2024-12-26,4,932269,kg,normal_variation,
MAT-0067,2025,Q1,1,옷감사,염료,Korea Dye Works,2024-11-07,2024-12-22,2024-12-25,3,746459,kg,normal_variation,
MAT-0068,2025,Q1,2,케어라벨사,라벨 원단,Apex Label Materials,2024-11-07,2024-12-22,2025-01-02,11,494826,m,watch,
MAT-0069,2025,Q1,2,케어라벨사,잉크,Korea Ink Supply,2024-11-07,2024-12-22,2024-12-27,5,366911,통,normal_variation,
MAT-0070,2025,Q1,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2024-11-07,2024-12-22,2024-12-24,2,446406,kg,normal_variation,
MAT-0071,2025,Q1,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2024-11-07,2024-12-22,2025-01-04,13,563049,kg,watch,
MAT-0072,2025,Q1,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2024-11-07,2024-12-22,2024-12-26,4,471839,m,normal_variation,
MAT-0073,2025,Q2,1,옷감사,면 원사,Qingdao Cotton Trading,2025-02-05,2025-03-22,2025-04-12,21,805709,kg,supplier_problem_candidate,
MAT-0074,2025,Q2,1,옷감사,폴리 원사,Sino Poly Fiber,2025-02-05,2025-03-22,2025-03-24,2,926450,kg,normal_variation,
MAT-0075,2025,Q2,1,옷감사,염료,Korea Dye Works,2025-02-05,2025-03-22,2025-03-28,6,655917,kg,normal_variation,
MAT-0076,2025,Q2,2,케어라벨사,라벨 원단,Apex Label Materials,2025-02-05,2025-03-22,2025-04-12,21,362053,m,supplier_problem_candidate,
MAT-0077,2025,Q2,2,케어라벨사,잉크,Korea Ink Supply,2025-02-05,2025-03-22,2025-03-24,2,432595,통,normal_variation,
MAT-0078,2025,Q2,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2025-02-05,2025-03-22,2025-03-28,6,463474,kg,normal_variation,
MAT-0079,2025,Q2,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2025-02-05,2025-03-22,2025-04-12,21,455858,kg,supplier_problem_candidate,
MAT-0080,2025,Q2,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2025-02-05,2025-03-22,2025-03-24,2,611331,m,normal_variation,
MAT-0081,2025,Q3,1,옷감사,면 원사,Qingdao Cotton Trading,2025-05-07,2025-06-21,2025-07-11,20,736132,kg,material_risk,
MAT-0082,2025,Q3,1,옷감사,폴리 원사,Sino Poly Fiber,2025-05-07,2025-06-21,2025-06-23,2,706291,kg,normal_variation,
MAT-0083,2025,Q3,1,옷감사,염료,Korea Dye Works,2025-05-07,2025-06-21,2025-06-27,6,785608,kg,normal_variation,
MAT-0084,2025,Q3,2,케어라벨사,라벨 원단,Apex Label Materials,2025-05-07,2025-06-21,2025-07-10,19,430421,m,material_risk,
MAT-0085,2025,Q3,2,케어라벨사,잉크,Korea Ink Supply,2025-05-07,2025-06-21,2025-06-23,2,439626,통,normal_variation,
MAT-0086,2025,Q3,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2025-05-07,2025-06-21,2025-06-25,4,463170,kg,normal_variation,
MAT-0087,2025,Q3,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2025-05-07,2025-06-21,2025-07-10,19,558510,kg,material_risk,
MAT-0088,2025,Q3,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2025-05-07,2025-06-21,2025-06-25,4,607452,m,normal_variation,
MAT-0089,2025,Q4,1,옷감사,면 원사,Qingdao Cotton Trading,2025-08-07,2025-09-21,2025-10-18,27,849845,kg,supplier_problem_candidate,
MAT-0090,2025,Q4,1,옷감사,폴리 원사,Sino Poly Fiber,2025-08-07,2025-09-21,2025-09-22,1,872071,kg,normal_variation,
MAT-0091,2025,Q4,1,옷감사,염료,Korea Dye Works,2025-08-07,2025-09-21,2025-09-22,1,870457,kg,normal_variation,
MAT-0092,2025,Q4,2,케어라벨사,라벨 원단,Apex Label Materials,2025-08-07,2025-09-21,2025-10-20,29,459466,m,supplier_problem_candidate,
MAT-0093,2025,Q4,2,케어라벨사,잉크,Korea Ink Supply,2025-08-07,2025-09-21,2025-09-25,4,459750,통,normal_variation,
MAT-0094,2025,Q4,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2025-08-07,2025-09-21,2025-09-27,6,589898,kg,normal_variation,
MAT-0095,2025,Q4,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2025-08-07,2025-09-21,2025-10-17,26,468852,kg,supplier_problem_candidate,
MAT-0096,2025,Q4,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2025-08-07,2025-09-21,2025-09-26,5,518742,m,normal_variation,
MAT-0097,2026,Q1,1,옷감사,면 원사,Qingdao Cotton Trading,2025-11-07,2025-12-22,2026-01-13,22,728422,kg,supplier_problem_candidate,
MAT-0098,2026,Q1,1,옷감사,폴리 원사,Sino Poly Fiber,2025-11-07,2025-12-22,2025-12-23,1,841031,kg,normal_variation,
MAT-0099,2026,Q1,1,옷감사,염료,Korea Dye Works,2025-11-07,2025-12-22,2025-12-26,4,897689,kg,normal_variation,
MAT-0100,2026,Q1,2,케어라벨사,라벨 원단,Apex Label Materials,2025-11-07,2025-12-22,2026-01-17,26,457354,m,supplier_problem_candidate,
MAT-0101,2026,Q1,2,케어라벨사,잉크,Korea Ink Supply,2025-11-07,2025-12-22,2025-12-28,6,423951,통,normal_variation,
MAT-0102,2026,Q1,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2025-11-07,2025-12-22,2025-12-27,5,528135,kg,normal_variation,
MAT-0103,2026,Q1,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2025-11-07,2025-12-22,2026-01-16,25,452535,kg,supplier_problem_candidate,
MAT-0104,2026,Q1,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2025-11-07,2025-12-22,2025-12-26,4,610984,m,normal_variation,
MAT-0105,2026,Q2,1,옷감사,면 원사,Qingdao Cotton Trading,2026-02-05,2026-03-22,2026-04-21,30,641389,kg,supplier_problem_candidate,
MAT-0106,2026,Q2,1,옷감사,폴리 원사,Sino Poly Fiber,2026-02-05,2026-03-22,2026-03-24,2,829597,kg,normal_variation,
MAT-0107,2026,Q2,1,옷감사,염료,Korea Dye Works,2026-02-05,2026-03-22,2026-03-27,5,778089,kg,normal_variation,
MAT-0108,2026,Q2,2,케어라벨사,라벨 원단,Apex Label Materials,2026-02-05,2026-03-22,2026-04-27,36,496447,m,supplier_problem_candidate,
MAT-0109,2026,Q2,2,케어라벨사,잉크,Korea Ink Supply,2026-02-05,2026-03-22,2026-03-26,4,515306,통,normal_variation,
MAT-0110,2026,Q2,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2026-02-05,2026-03-22,2026-03-26,4,576310,kg,normal_variation,
MAT-0111,2026,Q2,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2026-02-05,2026-03-22,2026-04-23,32,532864,kg,supplier_problem_candidate,
MAT-0112,2026,Q2,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2026-02-05,2026-03-22,2026-03-23,1,530031,m,normal_variation,
MAT-0113,2026,Q3,1,옷감사,면 원사,Qingdao Cotton Trading,2026-05-07,2026-06-21,2026-07-26,35,887429,kg,supplier_problem_candidate,
MAT-0114,2026,Q3,1,옷감사,폴리 원사,Sino Poly Fiber,2026-05-07,2026-06-21,2026-06-24,3,932590,kg,normal_variation,
MAT-0115,2026,Q3,1,옷감사,염료,Korea Dye Works,2026-05-07,2026-06-21,2026-06-24,3,684202,kg,normal_variation,
MAT-0116,2026,Q3,2,케어라벨사,라벨 원단,Apex Label Materials,2026-05-07,2026-06-21,2026-07-27,36,463695,m,supplier_problem_candidate,
MAT-0117,2026,Q3,2,케어라벨사,잉크,Korea Ink Supply,2026-05-07,2026-06-21,2026-06-21,0,519728,통,normal_variation,
MAT-0118,2026,Q3,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2026-05-07,2026-06-21,2026-06-27,6,489884,kg,normal_variation,
MAT-0119,2026,Q3,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2026-05-07,2026-06-21,2026-08-03,43,594067,kg,supplier_problem_candidate,
MAT-0120,2026,Q3,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2026-05-07,2026-06-21,2026-06-23,2,516704,m,normal_variation,
MAT-0121,2026,Q4,1,옷감사,면 원사,Vietnam Yarn Backup,2026-08-07,2026-09-21,2026-09-26,5,873548,kg,normal_variation,대체 공급사 테스트
MAT-0122,2026,Q4,1,옷감사,폴리 원사,Sino Poly Fiber,2026-08-07,2026-09-21,2026-09-24,3,754896,kg,normal_variation,
MAT-0123,2026,Q4,1,옷감사,염료,Korea Dye Works,2026-08-07,2026-09-21,2026-09-21,0,824201,kg,normal_variation,
MAT-0124,2026,Q4,2,케어라벨사,라벨 원단,Stable Label Backup,2026-08-07,2026-09-21,2026-09-25,4,477071,m,normal_variation,대체 공급사 테스트
MAT-0125,2026,Q4,2,케어라벨사,잉크,Korea Ink Supply,2026-08-07,2026-09-21,2026-09-27,6,371422,통,normal_variation,
MAT-0126,2026,Q4,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2026-08-07,2026-09-21,2026-09-27,6,486237,kg,normal_variation,
MAT-0127,2026,Q4,3,지퍼단추사,금속 원료,Incheon Metal Backup,2026-08-07,2026-09-21,2026-09-27,6,479686,kg,normal_variation,대체 공급사 테스트
MAT-0128,2026,Q4,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2026-08-07,2026-09-21,2026-09-23,2,496758,m,normal_variation,
